Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,labels
-14,-14,2.3807416,-2.2406323,-3.5427482,-3.8810172,1.757126,-14,-1.7136103,0.80941904,0.26548243,-2.6985223,-14,-14,-14,-0.760561,-1.7815796,-14,-14,-14,-3.1878324,-3.8715541,1.1038053,-0.5534187,-2.2422404,-3.1509333,0.5362239,-14,-0.25065655,-14,-0.25301173,-14,-6.271741,-0.66307503,-0.8980299,-0.17860799,-5.9180284,-14,-2.2245276,-0.34549785,-7.3761444,-14,HF
-14,-3.8044617,-14,-14,-14,-14,-2.0309446,0.8053822,-1.2334182,-14,1.9989023,-0.21144773,-14,-14,-14,-14,-14,-14,-14,-14,-14,-3.6788914,1.6241496,-3.6726224,-2.4480646,-14,-14,-4.413078,0.87617826,-3.2099147,-14,-14,-8.523507,-3.4480898,-14,-14,-4.0205245,-14,-14,-1.7705135,-4.981308,-2.5604582,HF
-14,-14,-14,-5.164542,-5.445756,-4.6388173,-1.0897647,-1.7556773,-4.4748487,-4.042609,1.1750661,-0.001156112,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,0.71513164,-4.1422668,-1.2687262,-6.3183,-3.694059,-5.0249405,-1.4196559,-14,-14,-14,-6.3608537,-5.2387066,-14,-4.180206,-14,-14,-14,-1.482506,-8.098625,-4.8956566,HF
-14,-0.5184284,-14,-4.642823,-14,-14,-2.310568,-14,-4.0667057,-14,-2.5707197,1.2613848,-14,-14,-14,-4.159671,-14,-14,-14,-14,-14,-14,-14,-14,-3.9874802,-3.8696604,-14,-14,-14,-14,-14,-14,-14,-14,-14,-7.544912,-14,-14,-3.8431907,-14,-8.594205,-3.0130851,HF
-4.842501,-14,-14,-14,-3.1843665,-5.268867,-4.0318966,-0.07230852,-4.065616,-1.4807132,1.209903,-1.4901341,-14,-14,-3.6410577,-14,-14,-14,-3.6786497,-14,-14,-14,1.0698129,-7.782218,-1.3241948,-14,-14,-4.606483,0.11324589,-5.096949,-14,-14,-5.7375994,-3.5811563,-14,-14,-14,-14,-14,-1.7276937,-14,-14,HF
-4.1751966,-14,0.6636143,-2.9738724,-3.58244,-3.5297499,-0.15846702,-14,-3.3728342,0.27573663,0.14009449,-0.7585058,-2.8824773,-14,-2.3809264,1.5171983,-3.2359052,-14,-3.8534145,-14,-2.198444,-4.504153,-1.0600302,-2.4093401,-1.8390425,-5.2669554,-14,-14,-14,-14,-0.18347166,-5.061303,-14,-0.9791897,-2.6604836,-0.14577237,-3.8528497,-14,-14,-0.23221754,-8.627747,-5.0333223,HF
-3.1311278,-14,0.01629085,-1.8880183,-14,-4.4881234,0.6077072,-4.8570695,-2.5242376,2.4210806,-0.07347215,-0.9419263,-14,-14,-0.46611986,-5.5134706,-3.8871255,-14,-14,-14,-3.845358,-2.5686345,-1.4330933,-2.5157478,-1.0902636,-14,-0.3872336,-14,-14,-14,-0.36648217,-3.8511055,-7.6344256,-2.191936,-4.39857,0.7163221,-3.9509256,-14,-5.4803085,0.32510218,-14,-5.1513715,HF
-14,-14,0.73612285,-2.426698,-4.720634,-1.5668007,0.51658547,-14,-2.5035048,2.211518,0.87289405,0.5549044,-3.0724502,-1.9244524,-0.48935208,-0.15856382,-1.6381246,-14,-2.5412037,-14,-3.7248118,-5.22119,-0.1720956,-1.7315509,-1.5810716,-4.217884,-0.56099075,-5.6654882,-14,-14,0.52053994,-4.081985,-5.801364,-1.2298357,-1.3514981,1.3669429,-4.544455,-14,-3.3719985,-0.9190836,-8.324659,-3.7358432,HF
-1.6209168,-14,3.4168863,-0.45044237,-1.8141831,-1.0525751,2.0344691,-4.701457,-2.1728175,3.608156,0.8597241,-1.0865107,-14,-3.5781097,-14,-14,-1.2439898,-14,-3.2449632,-14,-14,-3.0151353,2.3682566,0.028368345,0.1984739,-14,0.07065389,-3.989505,0.31162372,-4.922716,-14,-14,-4.1811967,0.63131434,0.028874535,-1.3536714,-14,-2.7954283,-0.5275552,0.38718474,-14,-3.7208579,HF
-2.82066,-14,2.4515433,-4.1140404,-2.3372233,-4.286616,0.61722267,-3.801114,-3.1359499,1.6198753,0.16863431,-0.046102066,-2.9532044,-14,-2.026398,-0.9390671,-2.7217362,-14,-14,-14,-2.3859446,-2.919763,-0.3597246,-1.0319145,-1.2315447,-5.514365,-1.2712461,-14,-2.6670413,-5.28087,-1.1464063,-4.550414,-6.382796,-1.9863405,-14,0.16396765,-2.0220108,-14,-3.8170462,-0.52796483,-14,-14,HF
-14,-14,1.1163837,-0.85911363,-14,-5.508063,-0.49109396,-2.609163,-2.2538683,2.8908272,-1.6552246,-1.4479442,-14,-14,-14,-14,-0.77398396,-14,-4.1672597,-14,-14,-14,0.9038582,-2.091402,-1.0188944,-4.9298124,-1.0637009,-14,-14,-14,-4.2910967,-14,-5.82799,-2.4339206,-14,-6.183387,-14,-4.8433557,-2.0992458,-1.4196664,-6.672131,-2.6455991,HF
-4.1687036,-14,-14,-1.6227403,-14,-4.341087,-0.13196896,0.46078002,-3.28478,1.9288826,-0.086088,-1.8619753,-14,-14,-14,-14,-2.4794247,-14,-14,-14,-5.440949,-4.2590938,1.3587837,-3.0739164,-2.665267,-5.811252,-1.7553457,-14,-1.1864644,-14,-14,-14,-4.2013636,-2.1074843,-14,-3.8648052,-4.1362743,-2.4604871,-1.284942,-0.20623578,-6.8991876,-3.7820482,HF
-1.9867169,-14,3.219298,0.1468945,-1.8183923,-1.626553,1.5762136,-4.668571,-2.0980396,3.294869,-0.34115052,-0.3022734,-4.8468623,-14,-3.249915,-2.323129,-3.130242,-14,-3.2342687,-14,-3.3605232,-3.7549708,1.5681821,-1.3325422,-1.0530052,-4.337361,0.56805587,-5.5926504,0.1685853,-6.6674275,-2.2487001,-14,-4.05476,-1.1551731,-1.0437516,-0.74030185,-1.6070955,-4.8378425,-1.9067984,-1.1957158,-7.845605,-4.4127026,HF
-14,-14,-14,-3.845474,-14,-2.6847086,-2.8369727,-0.720382,-3.8542194,-0.93431133,-0.22619472,-1.9982674,-14,-14,-2.6070933,-14,-14,-14,-1.7435607,-14,-14,-14,1.0404943,-2.771394,-1.6816175,-14,-14,-14,-14,-14,-14,-4.912463,-14,-14,-14,-4.278109,-14,-3.1378486,-4.3960204,-14,-5.5890565,-1.4697598,HF
-6.368975,-14,2.7715297,-1.9918325,-1.6051997,-2.815901,2.4304378,-3.7056317,-2.0108051,3.460503,0.69117224,-0.042696606,-3.5941546,-14,-14,-2.786977,-14,-14,-14,-14,-3.6428235,-14,1.0954956,-0.8106338,0.2049108,-14,0.5469349,-14,-2.392137,-14,-1.8548443,-4.204132,-5.0207715,-0.61363626,-14,-0.69292325,-14,-14,-0.30355018,-2.9885027,-7.592909,-14,HF
-3.1548061,-14,-14,-3.0223756,-4.5833545,-2.7841444,-1.4633745,-4.7157207,-2.3364716,-3.0698092,1.6589863,0.7464807,-14,-14,-14,-14,-14,-14,-14,-14,-14,-5.3596663,-1.6785753,-2.5239236,-0.84691334,-14,-14,-14,1.1450114,-6.509732,-14,-14,-7.9678845,-5.0009103,-14,-14,-14,-14,-14,-14,-5.411791,-2.9451592,HF
-3.809104,-4.7363176,-0.24672788,-0.959614,-3.996012,-3.2638826,0.74180263,-3.3302906,-2.483815,1.6303744,-0.5919204,-1.782528,-14,-14,-14,-14,-0.5468866,-14,-3.0451496,-14,-4.7764497,-4.4242935,1.3229169,-4.0075355,-2.0384946,-4.661135,-14,-5.3475323,-0.45163432,-14,-6.906535,-14,-4.885912,-4.2450843,-14,-3.146868,-5.273977,-14,-1.2518032,-0.08788844,-9.020859,-14,HF
-2.3382707,-14,1.4214602,-1.5027624,-3.6800268,-2.4252558,1.9946071,-1.1376178,-2.2920098,2.5641885,-0.6904178,0.33194017,-4.7652106,-14,-4.2735577,-5.535351,-3.331916,-14,-1.602011,-14,-3.9689512,-3.6392074,1.1205717,-14,-4.9364676,-14,-0.9618919,-14,-14,-7.3068523,-4.680973,-14,-5.0034285,-2.053957,-14,-3.4860287,-14,-14,-1.2160798,0.19520023,-14,-14,HF
-4.1631217,-14,1.7085774,-4.809214,-2.6838558,-4.721363,-0.3630417,-5.506859,-1.6530387,0.7710533,0.37887958,-0.21457347,-1.9319428,-14,-0.7823292,1.4131429,-3.6123145,-14,-14,-14,-1.233189,-2.9107099,-2.4888759,-1.0346334,-1.3885384,-3.2929308,-0.34176737,-14,-14,-7.4357815,0.046032783,-2.380695,-9.509447,-1.8497714,-4.579434,0.68416655,-2.4567354,-14,-14,-0.23201963,-14,-14,HF
-2.9275477,-14,3.6556013,-0.44642797,-3.230824,-2.8395152,0.64293545,-5.022138,-2.0014958,2.508417,-0.31466228,-0.7373123,-14,-5.486985,-14,-14,-0.5320819,-14,-14,-14,-3.831974,-2.230299,0.15452309,-1.9345285,-1.3046647,-4.229218,-0.40835407,-14,-0.8192087,-14,-2.4730375,-4.589635,-5.3149347,-0.9556646,-2.0924366,-0.52426326,-2.6131299,-14,-3.1431527,-1.4776697,-8.656065,-14,HF
-14,1.0471408,-14,-5.6933155,-14,-14,-2.6467762,-14,-2.978681,-14,-1.5311347,1.6380796,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-2.9267025,-14,-14,-14,-14,-4.3665247,-5.9542646,-14,-14,-8.648225,-14,-14,-4.125831,-14,-14,-4.7268496,-14,-7.309802,-2.9247196,HF
-14,-14,-1.5784978,-0.40619102,-14,-2.4303038,0.7724107,-0.119950674,-1.7646681,3.434419,0.7226277,-0.77859867,-14,-14,-14,-3.1196768,-0.9631446,-14,-3.740529,-14,-4.5753665,-14,2.0069327,-0.7774174,-1.4621083,-4.457283,-0.73815304,-14,-0.9034586,-14,-14,-14,-4.5802994,-3.6795294,-2.5945466,-3.942508,-4.1319833,-2.635076,-1.5065837,0.9992215,-14,-14,HF
-14,1.04821,-14,-4.027711,-14,-14,-0.46967298,-14,-14,-14,-0.26598066,-6.25107,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-3.9648104,-5.147421,-2.6442897,-14,-14,-14,-2.698802,-7.5411606,-14,-14,-14,-14,-2.009193,-14,-14,-14,-14,-14,-14,-14,HF
-2.07204,-14,1.8472167,-4.30378,-4.68921,-6.366688,-0.46859562,-4.676547,-2.1757672,0.6899056,0.92718804,-0.66863835,-4.630847,-14,-1.4201661,-3.2365723,-2.7459917,-14,-14,-14,-3.709104,-3.723768,-1.6071022,-1.199559,-1.7298753,-4.469307,0.05232087,-14,-4.675664,-14,-1.1590716,-3.4873998,-6.860691,-2.3980784,-2.898144,-0.6151499,-1.4614344,-14,-5.082039,-1.5558786,-14,-14,HF
-14,-14,-2.4863803,-3.908122,-14,-5.2429934,0.7616859,-1.5496583,-1.5312494,1.8074143,-1.0503321,-1.8105476,-14,-14,-14,-2.8452303,-1.2994392,-14,-14,-14,-14,-14,2.2418203,-2.3053708,-2.569509,-5.6570544,-14,-14,-2.3983123,-14,-3.282847,-14,-4.048979,-1.7924145,-14,-14,-14,-3.6490927,-1.1478083,0.3198257,-5.8947177,-1.2166638,HF
-14,-14,-14,-2.4765244,-14,-5.552014,-0.77636874,0.029785942,-5.3926215,-0.006834628,-0.7566634,-1.1738999,-14,-14,-14,-14,-14,-14,-1.3672674,-14,-14,-14,1.591836,0.064421445,-3.1902335,-14,-14,-14,-3.8835628,-14,-14,-14,-14,-14,-14,-14,-14,-14,-1.5752594,0.4038108,-6.1727476,-3.2481306,HF
-14,-14,-14,-3.8649082,-14,-7.201892,-0.99836594,-0.1283595,-2.5997357,-3.3509622,0.29866046,-1.3332165,-14,-14,-14,-14,-2.5459619,-14,-14,-14,-14,-5.018962,0.41970202,-3.9756997,-0.59109885,-9.253261,-14,-14,0.07433788,-14,-14,-14,-5.855925,-14,-3.5466003,-14,-14,-4.829515,-14,-0.0777111,-6.8014655,-3.8988934,HF
-14,-14,-14,-2.605662,-14,-4.26272,0.09891722,-1.0011531,-2.531331,-0.9676951,1.13863,-0.35702243,-14,-14,-14,-14,-2.8166118,-14,-14,-14,-14,-14,2.323848,-4.1943793,-0.27403662,-14,-14,-14,-1.0570459,-14,-14,-14,-5.9122972,-3.160631,-14,-5.8107233,-14,-14,-2.9336689,0.57807827,-6.181451,-4.5657926,HF
-2.0609655,-14,-14,-1.2020236,-3.3547566,-3.9678485,0.48482352,-0.10118643,-1.8278896,-0.020361533,1.347573,-0.7300244,-14,-14,-14,-14,-5.6861763,-14,-3.3349261,-14,-14,-14,1.7415266,-1.4404494,-1.9427582,-14,-1.9346097,-3.3295298,0.4605384,-14,-8.057465,-14,-5.5107064,-2.7020295,-14,-5.4489994,-14,-4.089879,-2.5766232,0.29800317,-4.5008426,-2.8813052,HF
-3.9121764,-14,-6.9663377,-1.783914,-4.184632,-2.5601509,0.9267644,-2.2928407,-1.795,2.6064627,0.10258381,-2.2202384,-14,-14,-14,-2.2980795,-1.36618,-14,-1.6213351,-14,-14,-14,1.1684761,-2.3492706,-1.4280506,-14,-0.12062971,-3.1588905,0.81139195,-14,-3.0449932,-6.2245455,-5.363979,-1.6436864,-14,-3.6760986,-14,-14,-1.1278135,-1.040413,-5.555703,-3.2964804,HF
-14,-14,-2.5768683,-2.8465626,-14,-5.671279,-0.9714035,0.29701447,-2.5991066,0.59776616,-0.49766603,-3.3982637,-14,-14,-14,-14,-2.1896813,-14,-3.3827136,-14,-14,-14,1.0757658,-1.2179215,-1.9136076,-14,-14,-14,-14,-14,-14,-14,-7.1437545,-3.5400288,-14,-5.708553,-14,-14,-2.1177669,0.9067227,-6.571893,-14,HF
-1.7282153,-14,4.08719,0.29995275,-1.1953995,-1.843806,2.5472026,-1.1255963,-1.3009247,3.3425512,0.049032915,-1.7157283,-14,-14,-1.5901599,-2.4083016,-3.0896964,-14,-2.9829037,-14,-3.5810764,-2.1475174,1.7699966,-0.75927365,-0.8664059,-14,0.76473653,-14,-0.4552394,-14,-3.8481185,-6.22447,-3.8272328,-0.44019052,-0.77356684,-1.1833935,-2.8129373,-14,-1.106295,0.060946945,-14,-4.1659737,HF
-1.5253154,-14,3.615518,0.2997662,-3.3672318,-3.796935,1.5107548,-0.9117117,-1.5475218,3.2752566,0.42339244,0.6377652,-14,-5.8019266,-0.94633037,-14,0.21354102,-14,-14,-14,-2.323935,-14,1.5994366,-1.0258901,-3.4084203,-4.473469,0.6826442,-14,0.6977396,-4.2366986,-0.5558775,-4.6990895,-2.622174,-0.13449925,0.6486618,0.523205,-1.2980106,-14,-2.3678517,1.2176983,-14,-14,HF
-3.6721,-14,2.8808613,-1.9288212,-3.9348776,-2.4510577,1.6249521,-14,-4.752267,1.9936857,-0.5237209,-2.6496344,-14,-14,-1.9980468,-14,-14,-14,-4.036486,-14,-14,-4.304763,0.88175344,-1.1367866,-3.3191166,-2.7545044,-1.0229565,-14,-1.3114578,-7.355061,-1.8185596,-5.4615536,-3.827737,0.04700146,-1.1352116,-1.1846571,-0.9457733,-14,-14,-0.37673876,-14,-3.5705144,HF
-3.8002627,-14,2.30224,-0.53211856,-3.94716,-2.7738352,1.8769933,-1.8974019,-0.8954295,3.4813864,1.0050652,-1.2241472,-14,-14,-14,-14,-1.561231,-14,-14,-14,-4.434758,-14,2.2149198,-1.1552716,-1.6813908,-3.394157,-1.0345039,-1.800121,-0.5231638,-14,-2.2087922,-4.6193333,-4.0744815,-0.018542785,-14,-3.0431428,-4.302605,-3.1517797,-0.3547827,-0.24294682,-5.937552,-14,HF
-4.016224,-14,2.1245606,0.02613198,-0.9123802,-2.3365364,2.387088,-2.3887446,-2.0087774,2.242143,-0.7080369,-1.8925735,-2.6652608,-14,-4.054915,-4.41597,-3.4053903,-14,-14,-14,-2.6030319,-4.015071,0.950106,-1.1082404,-2.759752,-14,0.33653322,-4.8473125,-2.2547724,-14,-2.435568,-14,-5.872079,-2.050151,-14,-0.5805218,-2.486167,-14,-2.8555415,0.545894,-7.6555657,-2.8045757,HF
-3.5582316,-14,-14,0.5831625,-1.6265099,-1.4308342,2.0594509,-0.28644416,-2.3547442,3.5683565,0.74856865,-0.95120937,-14,-14,-14,-14,-0.52532184,-14,-1.5966597,-14,-4.8599944,-4.392607,1.7629507,-0.9019892,-2.6491191,-14,1.2878765,-14,-0.6469595,-14,-2.5923228,-14,-4.1757884,-1.1393018,-14,-3.0940607,-14,-4.1396413,-1.9110721,-0.4089592,-14,-3.7417066,HF
-2.451549,-14,-0.62792116,-1.1970822,-3.6865458,-3.3290446,1.2029885,-3.5348973,-2.1020815,2.6244864,-0.026287012,-0.6291171,-2.3071165,-14,-1.5706693,-2.711173,-14,-14,-14,-14,-2.1013596,-4.323068,-0.46087703,-3.87151,-1.2833138,-14,-0.070707545,-14,-14,-6.002881,-0.8269397,-6.698784,-5.108792,-1.6808631,-2.2559345,0.6835799,-5.3208447,-14,-3.8899581,-0.6437095,-14,-5.226304,HF
-3.4414608,-14,0.62175816,-3.1583931,-14,-3.9129431,0.31026945,-14,-3.2267709,-0.031969808,-0.4852212,-1.757195,-2.4131033,-14,-0.7845562,1.49343,-3.784251,-14,-4.0338383,-14,-2.5204816,-3.6166158,-2.1237953,-1.4056659,-0.882256,-5.6169844,-1.3297614,-14,-14,-4.4111066,-0.7673376,-3.6947873,-8.659342,-5.127543,-2.4377668,0.6080647,-4.2993765,-14,-5.5352454,-1.5879151,-14,-14,HF
-14,0.63321936,-14,-3.083179,-14,-14,0.49298185,-14,-3.1652598,-14,-1.4472884,0.35699832,-14,-14,-14,-14,-14,-14,-14,-14,-4.4355826,-14,-14,-3.1463373,-0.7811054,-14,-14,-14,-2.3847117,-14,-14,-14,-14,-14,-14,-2.3611014,-14,-1.6765673,-14,-14,-14,-2.6873274,HF
-4.451181,-14,-14,-2.4334602,-3.7535226,-5.3776307,-1.9091763,-0.30129215,-2.136869,0.20012555,1.3961657,0.03868948,-14,-14,-14,-14,-2.180968,-14,-14,-14,-14,-14,2.6599615,-14,-2.030867,-14,-2.4656196,-14,-0.12369385,-4.5982738,-14,-14,-3.9165702,-4.2437425,-14,-14,-14,-14,-2.15049,0.64560294,-5.323119,-3.908275,HF
-14,-14,-4.6524982,-0.59875625,-3.1065817,-4.415465,0.37768868,-3.8390448,-2.0063064,2.173406,0.76422316,-1.1970414,-14,-14,-14,-2.8509176,-2.0823228,-14,-14,-14,-14,-14,0.5358682,-2.2411828,-3.1638677,-14,-2.9547167,-14,-0.20640367,-14,-2.7164366,-14,-5.4723353,-4.717179,-14,-2.9833171,-14,-4.0779715,-1.4952725,-1.1280332,-6.40029,-2.1448328,HF
-14,-14,-14,-14,-14,-14,-2.1397803,0.33276105,-3.4081874,-14,1.7623062,-1.4951887,-14,-14,-14,-2.230333,-14,-14,-14,-14,-14,-14,1.2401131,-3.221769,-1.167965,-4.4825788,-14,-14,1.0109663,-14,-3.054313,-14,-7.014327,-14,-14,-5.6374993,-14,-14,-14,-14,-7.5127153,-14,HF
-2.5305817,-14,1.686476,-2.1815248,-14,-14,2.4571722,-0.9992372,-4.4141545,0.8653194,0.05241174,-1.1340947,-4.298988,-3.5973165,-2.20952,-14,-3.5173938,-14,-14,-14,-1.7228817,-3.367415,-1.3347185,-1.4969594,-14,-14,1.5002464,-14,-3.2403038,-14,-1.1041149,-4.309799,-8.100028,-2.080691,-3.4304748,0.362625,0.617737,-14,-7.3453693,0.077376,-14,-4.4427624,HF
-1.2343899,-14,4.842596,0.816572,-0.59376884,-2.6744432,0.11117913,-3.4276538,-1.4917792,3.6637628,-2.450337,-2.0874934,-14,-14,-3.474447,-14,-0.6983785,-14,-3.1757293,-14,-3.8042157,-1.216192,1.6919286,-0.7774309,-1.3383305,-14,0.88487494,-2.2413485,-1.9576108,-14,-14,-14,-4.075721,0.282183,-1.1576298,-1.0736873,-0.7131616,-14,-0.805728,-1.3145272,-14,-14,HF
-2.4993355,-14,4.368262,0.6443715,-3.4796581,-2.326138,0.8329557,-3.6176572,-1.5767406,2.2898002,-0.4433983,-2.6021333,-14,-14,-14,-14,-1.7490699,-14,-2.2078793,-14,-3.9291027,-3.8431294,1.2553892,-1.7460023,-1.6682035,-4.781827,0.080438025,-3.9950109,-1.0876693,-5.942063,-14,-14,-5.448498,-1.3818688,-2.7152455,-2.885633,-2.6646307,-2.4966767,-1.5582559,-1.6973526,-14,-4.302361,HF
-3.8624156,-14,1.6431315,-3.071128,-14,-6.320003,1.1189859,-1.7134677,-2.3150847,1.483715,0.6818044,-0.8161192,-1.613404,-14,-0.35660556,-0.015867436,-1.2762588,-14,-3.322547,-14,-1.2467725,-2.653221,-1.5659717,-1.9704293,-2.986724,-9.184207,0.22070897,-14,-14,-14,0.56500006,-4.033903,-14,-0.9559924,-4.5110927,0.08159744,-1.4049911,-14,-3.8732684,-0.39485353,-14,-4.4747643,HF
-2.49959,-14,2.1751685,0.5748912,-2.2728417,-1.0156481,2.2455597,-2.2190711,-1.8372025,3.1738353,0.27036417,-1.307495,-14,-14,-14,-4.40426,-2.1442232,-14,-14,-14,-5.0971313,-3.3365111,2.072435,-0.73864204,-0.71916866,-5.5468507,-1.17918,-14,-1.6025307,-14,-14,-14,-4.1962123,-0.6822778,-5.002887,-2.353985,-4.031586,-4.3531327,-2.1774206,-2.1134083,-6.3003783,-4.3245206,HF
-1.7493721,-14,0.18321893,-0.5069694,-4.8346934,-1.6022875,2.0367062,-0.18667841,-2.200826,2.756744,-0.2947325,-1.2137804,-14,-14,-14,-14,-0.53334385,-14,-5.626194,-14,-14,-14,1.7034955,-2.4395692,-2.3460224,-14,-0.23200655,-4.802705,-1.0508133,-14,-14,-5.038216,-5.184316,-1.2803193,-14,-3.4260836,-4.262698,-3.4477816,-1.5381767,1.6990135,-7.385566,-14,HF
-2.4374738,-14,1.5331041,-0.036789864,-1.3214148,-1.9296777,1.5600513,-1.5262244,-1.0014205,2.6340706,0.77032304,0.84640974,-3.33796,-4.018578,-1.4106939,-1.4869826,-14,-14,-2.0224438,-14,-1.2142954,-4.333862,0.45560372,-0.056098413,-1.8107272,-3.6689386,1.6951011,-14,-0.57148015,-14,-0.70810807,-3.1893928,-3.903668,-0.86287355,-14,1.2434274,-0.83106405,-14,-14,1.0087811,-5.9425664,-3.3869843,HF
-5.559238,-14,0.3485459,-0.73265713,-2.4893973,-4.318466,-0.012705885,-1.2056042,-3.2347631,2.797429,0.09165876,-2.704525,-14,-14,-14,-3.4671626,-1.1759667,-14,-5.195802,-14,-14,-4.7776914,1.0964899,-2.1749985,-1.1386085,-4.9649153,-14,-3.9715486,-1.21847,-6.142254,-14,-14,-5.7395177,-2.2039778,-14,-9.164019,-14,-2.7851667,-1.0242442,0.4101277,-8.089277,-4.3852773,HF
